brand,eans,file_urls,files,model,model_2,product,product_lang,source,thumb,type,url
Tp-link,,"https://static.tp-link.com/2021/202102/20210204/TP-Link PoE Switch Series Flyer.pdf,https://static.tp-link.com/2020/202012/20201215/SDN Smart Switch.pdf,https://static.tp-link.com/2020/202008/20200827/Switch Regulatory Compliance.pdf,https://www.tp-link.com/us/user-guides/omada-sdn-software-controller/,https://static.tp-link.com/2020/202012/20201223/1910012926-Omada SDN Controller 4.2.4-User Guide.pdf,https://static.tp-link.com/2020/202012/20201223/1910012926-Omada SDN Controller 4.2.4-User Guide.pdf,https://static.tp-link.com/manual/2021/202107/20210702/7106509248_T1600G_IG.pdf,https://static.tp-link.com/2020/202008/20200821/1910012864-Omada SDN Controller User Guide.pdf,https://static.tp-link.com/2020/202011/20201103/1910012904_T16_T26_CLI.pdf,https://static.tp-link.com/upload/manual/2021/202108/20210820/Wall Mountable Switches_Wall Mounting Guide.pdf,https://static.tp-link.com/2020/202011/20201103/1910012903_T16_T26_UG.pdf",,TL-SG2428P,,Omada Cloud SDN Switches,en,tp-link.com,https://static.tp-link.com/TL-SG2428P_UN_1.0_normal_1594869146382b.png,PoE Switch Series Product Introduction,https://www.tp-link.com/en/support/download/tl-sg2428p/v1/
Tp-link,,"https://static.tp-link.com/2021/202102/20210204/TP-Link PoE Switch Series Flyer.pdf,https://static.tp-link.com/2021/202101/20210107/SDN Gigabit Managed Switch.pdf,https://www.tp-link.com/us/user-guides/omada-sdn-software-controller/,https://static.tp-link.com/2020/202012/20201223/1910012926-Omada SDN Controller 4.2.4-User Guide.pdf,https://static.tp-link.com/2020/202012/20201223/1910012926-Omada SDN Controller 4.2.4-User Guide.pdf,https://static.tp-link.com/2020/202011/20201103/1910012903_T16_T26_UG.pdf,https://static.tp-link.com/2020/202011/20201103/1910012904_T16_T26_CLI.pdf,https://static.tp-link.com/2020/202012/20201217/7106509113_TL-SG3428_IG.pdf,https://static.tp-link.com/2020/202008/20200821/1910012864-Omada SDN Controller User Guide.pdf,https://static.tp-link.com/upload/manual/2021/202108/20210820/Wall Mountable Switches_Wall Mounting Guide.pdf",,TL-SG3428MP,,Omada Cloud SDN Switches,en,tp-link.com,https://static.tp-link.com/TL-SG3428MP_UN_1.0_01_normal_1603785932456b.png,PoE Switch Series Product Introduction,https://www.tp-link.com/en/support/download/tl-sg3428mp/v1/
Tp-link,,"https://static.tp-link.com/resources/document/TL-SG3210_V2_Datasheet.pdf,https://static.tp-link.com/2020/202008/20200827/Switch Regulatory Compliance.pdf,https://static.tp-link.com/upload/manual/2021/202108/20210820/Wall Mountable Switches_Wall Mounting Guide.pdf,https://static.tp-link.com/res/down/doc/TL-SG3210(UN)_V2_UG.pdf,https://static.tp-link.com/res/down/doc/TL-SG3210(UN)_V2.0_CLI_.pdf,https://static.tp-link.com/TL-SG3210(UN)_V2_IG_1474192081061q.pdf",,TL-SG3210,,Omada Cloud SDN Switches,en,tp-link.com,,Datasheet,https://www.tp-link.com/en/support/download/tl-sg3210/v2/
Tp-link,,"https://static.tp-link.com/product-overview/2021/202107/20210719/SDN Smart Switch_T16(210630).pdf,https://static.tp-link.com/2021/202102/20210204/TP-Link PoE Switch Series Flyer.pdf,https://static.tp-link.com/manual/2021/202107/20210702/7106509248_T1600G_IG.pdf",,TL-SG2428P,,Omada Cloud SDN Switches,en,tp-link.com,,Datasheet,https://www.tp-link.com/en/support/download/tl-sg2428p/v2/
Tp-link,,"https://static.tp-link.com/product-overview/2021/202107/20210719/SDN Gigabit Managed Switch.pdf,https://static.tp-link.com/2020/202011/20201103/1910012904_T16_T26_CLI.pdf,https://static.tp-link.com/2020/202011/20201103/1910012903_T16_T26_UG.pdf,https://static.tp-link.com/upload/manual/2021/202108/20210806/7106509324_TL-SG3428_IG.pdf",,TL-SG3210,,Omada Cloud SDN Switches,en,tp-link.com,https://static.tp-link.com/list-page_normal_1607079419437w.png,Datasheet,https://www.tp-link.com/en/support/download/tl-sg3210/v3/
Tp-link,,"https://static.tp-link.com/2021/202101/20210107/SDN Gigabit Managed Switch.pdf,https://static.tp-link.com/2020/202008/20200827/Switch Regulatory Compliance.pdf,https://static.tp-link.com/2020/202011/20201103/1910012903_T16_T26_UG.pdf,https://static.tp-link.com/2020/202011/20201103/1910012904_T16_T26_CLI.pdf,https://static.tp-link.com/2020/202010/20201026/7106509026_ TL-SG3210(UN)3.0,TL-SG3210XHP-M2(UN)1.0,TL-SG3428(UN)1.0,TL-SG3428MP(UN)1.0,TL-SG3428X(UN)1.0,TL-SG3428XMP(UN)1.0,TL-SG3452(UN)1.0,TL-SG3452P(UN)1.0_IG.pdf,https://static.tp-link.com/upload/manual/2021/202108/20210820/Wall Mountable Switches_Wall Mounting Guide.pdf",,TL-SG3428,,Omada Cloud SDN Switches,en,tp-link.com,https://static.tp-link.com/TL-SG3428(UN)1.0_normal_1600051886121e.jpg,Datasheet,https://www.tp-link.com/en/support/download/tl-sg3428/v1/
Tp-link,,"https://static.tp-link.com/2021/202102/20210204/TP-Link PoE Switch Series Flyer.pdf,https://static.tp-link.com/2021/202101/20210107/SDN Smart Switch.pdf,https://static.tp-link.com/2020/202012/20201215/SDN Smart Switch.pdf,https://static.tp-link.com/2020/202008/20200827/Switch Regulatory Compliance.pdf,https://www.tp-link.com/us/user-guides/omada-sdn-software-controller/,https://static.tp-link.com/2020/202012/20201223/1910012926-Omada SDN Controller 4.2.4-User Guide.pdf,https://static.tp-link.com/2020/202012/20201223/1910012926-Omada SDN Controller 4.2.4-User Guide.pdf,https://static.tp-link.com/2020/202008/20200821/1910012864-Omada SDN Controller User Guide.pdf,https://static.tp-link.com/2020/202011/20201103/1910012904_T16_T26_CLI.pdf,https://static.tp-link.com/2020/202011/20201103/1910012903_T16_T26_UG.pdf,https://static.tp-link.com/upload/manual/2021/202108/20210820/Wall Mountable Switches_Wall Mounting Guide.pdf,https://static.tp-link.com/manual/2021/202107/20210705/7106509264_TL-SG2210P&TL-SG2008P(UN)_IG.pdf",,TL-SG2008P,,Omada Cloud SDN Switches,en,tp-link.com,https://static.tp-link.com/TL-SG2008P(UN)1.0_Overviews_normal_1594869465633b.png,PoE Switch Series Product Introduction,https://www.tp-link.com/en/support/download/tl-sg2008p/v1/
Tp-link,,https://static.tp-link.com/2021/202102/20210204/TP-Link PoE Switch Series Flyer.pdf,,TL-SG2210P,,Omada Cloud SDN Switches,en,tp-link.com,,PoE Switch Series Product Introduction,https://www.tp-link.com/en/support/download/tl-sg2210p/v4.20/
Tp-link,,"https://static.tp-link.com/product-overview/2021/202107/20210719/SDN Gigabit Managed Switch.pdf,https://static.tp-link.com/2020/202011/20201103/1910012903_T16_T26_UG.pdf,https://static.tp-link.com/2020/202011/20201103/1910012904_T16_T26_CLI.pdf,https://static.tp-link.com/upload/manual/2021/202108/20210806/7106509324_TL-SG3428_IG.pdf",,TL-SG3428,,Omada Cloud SDN Switches,en,tp-link.com,https://static.tp-link.com/TL-SG3428_UN_2.0_normal_1610956403939h.png,Datasheet,https://www.tp-link.com/en/support/download/tl-sg3428/v2/
Tp-link,,"https://static.tp-link.com/product-overview/2021/202107/20210719/SDN Smart Switch_T16(210630).pdf,https://static.tp-link.com/2021/202102/20210204/TP-Link PoE Switch Series Flyer.pdf",,TL-SG2210P,,Omada Cloud SDN Switches,en,tp-link.com,,Datasheet,https://www.tp-link.com/en/support/download/tl-sg2210p/v4/
