brand,eans,file_urls,files,model,model_2,parent_product,product,product_lang,source,thumb,type,url
Tp-link,,https://static.tp-link.com/2020/202008/20200828/7106508916Desktop Switch(EU2-16Languages).pdf,,TL-SG108,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/TL-SG108(UN)4.0_1516617261419g.jpg,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sg108/v4/
Tp-link,,https://static.tp-link.com/2020/202008/20200827/Switch Regulatory Compliance.pdf,,TL-SF1024,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/TL-SF1024_UN_9.0_1500942905096s.jpg,Manual,https://www.tp-link.com/pt/support/download/tl-sf1024/v9/
Tp-link,,https://static.tp-link.com/upload/manual/2021/202108/20210820/Wall Mountable Switches_Wall Mounting Guide.pdf,,TL-SF1024,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/TL-SF1024_UN_9.0_1500942905096s.jpg,Wall Mounting Guide,https://www.tp-link.com/pt/support/download/tl-sf1024/v9/
Tp-link,,https://static.tp-link.com/manual/2021/202107/20210719/7106509291_TL-SG1016DE_IG.pdf,,TL-SF1024,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/TL-SF1024_UN_9.0_1500942905096s.jpg,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sf1024/v9/
Tp-link,,https://static.tp-link.com/2018/201810/20181030/7106508144_TL-SG116(UN)_1.0-TL-SG108(UN)_4.0-TL-SG105(UN)_4.0-TL-SG105S(UN)_1.1-TL-SG108S(UN)_1.1_IG.pdf,,TL-SG108,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/TL-SG108(UN)4.0_1516617261419g.jpg,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sg108/v4/
Tp-link,,https://static.tp-link.com/2018/201809/20180926/TL-SG116 SG105 SG108 Datasheet.pdf,,TL-SG105,,JetStream Switches,Switches Sem Gestão,,tp-link.com,,Datasheet,https://www.tp-link.com/pt/support/download/tl-sg105/v4/
Tp-link,,https://static.tp-link.com/2018/201805/20180517/7106507649_Rackmount Switch_(EU2-12Languages)_Installation Guide.pdf,,TL-SF1024,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/TL-SF1024_UN_9.0_1500942905096s.jpg,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sf1024/v9/
Tp-link,,https://static.tp-link.com/2019/201903/20190308/7106508318_TL-SG105(UN)4.0&TL-SG105S(UN)1.1.pdf,,TL-SG105,,JetStream Switches,Switches Sem Gestão,,tp-link.com,,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sg105/v4/
Tp-link,,https://static.tp-link.com/2020/202008/20200828/7106508917_Desktop Switch(EU1-12Languages).pdf,,TL-SG105,,JetStream Switches,Switches Sem Gestão,,tp-link.com,,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sg105/v4/
Tp-link,,https://static.tp-link.com/2020/202008/20200828/7106508916Desktop Switch(EU2-16Languages).pdf,,TL-SG105,,JetStream Switches,Switches Sem Gestão,,tp-link.com,,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sg105/v4/
Tp-link,,https://static.tp-link.com/2018/201807/20180725/7106508144_TL-SG116(UN)_1.0-TL-SG108(UN)_4.0-TL-SG105(UN)_4.0-TL-SG105S(UN)_1.1-TL-SG108S(UN)_1.1_IG.pdf,,TL-SG105,,JetStream Switches,Switches Sem Gestão,,tp-link.com,,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sg105/v4/
Tp-link,,https://static.tp-link.com/2019/201904/20190426/TL-SG105SG108SG116(UN)_Datasheet.pdf,,TL-SG105,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/TL_SG105(UN)4.0_1516616629639a.jpg,Datasheet,https://www.tp-link.com/pt/support/download/tl-sg105/v5/
Tp-link,,https://static.tp-link.com/2019/201903/20190308/7106508318_TL-SG105(UN)5.0&TL-SG105S(UN)2.0.pdf,,TL-SG105,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/TL_SG105(UN)4.0_1516616629639a.jpg,Quick Installation Guide,https://www.tp-link.com/pt/support/download/tl-sg105/v5/
Tp-link,,https://static.tp-link.com/2020/202008/20200828/7106508917_Desktop Switch(EU1-12Languages).pdf,,TL-SG105,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/TL_SG105(UN)4.0_1516616629639a.jpg,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sg105/v5/
Tp-link,,https://static.tp-link.com/2020/202008/20200828/7106508916Desktop Switch(EU2-16Languages).pdf,,TL-SG105,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/TL_SG105(UN)4.0_1516616629639a.jpg,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sg105/v5/
Tp-link,,https://static.tp-link.com/resources/document/TL-SF1024D_V2_datasheet.pdf,,TL-SF1024D,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/SF1024D_1500943817270v.JPG,Datasheet,https://www.tp-link.com/pt/support/download/tl-sf1024d/v2/
Tp-link,,https://static.tp-link.com/2018/201805/20180517/7106507649_Rackmount Switch_(EU2-12Languages)_Installation Guide.pdf,,TL-SF1024D,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/SF1024D_1500943817270v.JPG,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sf1024d/v2/
Tp-link,,https://static.tp-link.com/resources/document/TL-SF1024D_V2_QIG_7106504436.pdf,,TL-SF1024D,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/SF1024D_1500943817270v.JPG,Quick Installation Guide,https://www.tp-link.com/pt/support/download/tl-sf1024d/v2/
Tp-link,,https://static.tp-link.com/2018/201805/20180517/7106507649_Rackmount Switch_(EU2-12Languages)_Installation Guide.pdf,,TL-SL1226,,JetStream Switches,Switches Sem Gestão,,tp-link.com,,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sl1226/v2/
Tp-link,,https://static.tp-link.com/resources/document/TL-SL1226_CE_DOC.pdf,,TL-SL1226,,JetStream Switches,Switches Sem Gestão,,tp-link.com,,CE DOC,https://www.tp-link.com/pt/support/download/tl-sl1226/v2/
Tp-link,,https://static.tp-link.com/resources/document/7106503252_TL-SL1351.pdf,,TL-SL1226,,JetStream Switches,Switches Sem Gestão,,tp-link.com,,Quick Installation Guide,https://www.tp-link.com/pt/support/download/tl-sl1226/v2/
Tp-link,,https://static.tp-link.com/resources/document/TL-SF1016DS_V3_datasheet.pdf,,TL-SF1016DS,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/SF1016DS_1500943709766t.JPG,Datasheet,https://www.tp-link.com/pt/support/download/tl-sf1016ds/v3/
Tp-link,,https://static.tp-link.com/2018/201805/20180517/7106507649_Rackmount Switch_(EU2-12Languages)_Installation Guide.pdf,,TL-SF1016DS,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/SF1016DS_1500943709766t.JPG,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sf1016ds/v3/
Tp-link,,https://static.tp-link.com/resources/document/TL-SF1016DS_V3_IG_7106504436.pdf,,TL-SF1016DS,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/SF1016DS_1500943709766t.JPG,Manual,https://www.tp-link.com/pt/support/download/tl-sf1016ds/v3/
Tp-link,,https://static.tp-link.com/2018/201805/20180517/7106507649_Rackmount Switch_(EU2-12Languages)_Installation Guide.pdf,,TL-SF1016,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/sf1016_12.0_1500943459357k.JPG,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sf1016/v8/
Tp-link,,https://static.tp-link.com/resources/document/TL-SF1016_CE_DOC.pdf,,TL-SF1016,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/sf1016_12.0_1500943459357k.JPG,CE DOC,https://www.tp-link.com/pt/support/download/tl-sf1016/v8/
Tp-link,,https://static.tp-link.com/resources/document/TL-SL1226_V3_Datasheet.pdf,,TL-SL1226,,JetStream Switches,Switches Sem Gestão,,tp-link.com,,Datasheet,https://www.tp-link.com/pt/support/download/tl-sl1226/v3/
Tp-link,,https://static.tp-link.com/2018/201805/20180517/7106507649_Rackmount Switch_(EU2-12Languages)_Installation Guide.pdf,,TL-SL1226,,JetStream Switches,Switches Sem Gestão,,tp-link.com,,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sl1226/v3/
Tp-link,,https://static.tp-link.com/resources/document/TL-SL1226_V3_IG_7106504529.pdf,,TL-SL1226,,JetStream Switches,Switches Sem Gestão,,tp-link.com,,Manual,https://www.tp-link.com/pt/support/download/tl-sl1226/v3/
Tp-link,,https://static.tp-link.com/2021/202101/20210107/TL-SG105(UN)5.0&TL-SG108(UN)6.0&TL-SG116(UN)1.0_Datasheet.pdf,,TL-SG105,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/overview_normal_1587089238000t.png,Datasheet,https://www.tp-link.com/pt/support/download/tl-sg105/v6/
Tp-link,,https://static.tp-link.com/2020/202008/20200827/Switch Regulatory Compliance.pdf,,TL-SG105,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/overview_normal_1587089238000t.png,Manual,https://www.tp-link.com/pt/support/download/tl-sg105/v6/
Tp-link,,"https://static.tp-link.com/2020/202011/20201124/7106509036_TL-SG116(UN)_1.0, TL-SG108(UN)_5.0, TL-SG105(UN)_6.0, TL-SG105S(UN)_3.0,TL-SG108S(UN)_2.0_IG.pdf",,TL-SG105,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/overview_normal_1587089238000t.png,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sg105/v6/
Tp-link,,https://static.tp-link.com/upload/manual/2021/202108/20210820/Wall Mountable Switches_Wall Mounting Guide.pdf,,TL-SG105,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/overview_normal_1587089238000t.png,Wall Mounting Guide,https://www.tp-link.com/pt/support/download/tl-sg105/v6/
